"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Logging System","45","0","System logging functionality","0"
"0","","0","Logging System","4","0","Log categories","0"
"0","","4","Search Functionality","0","0","Search with price filters","0"
"0","","0","Notification API","5","0","Filter notifications by priority","0"
"0","","2","Security","4","0","File type validation","0"
"0","","0","Event System","51","0","Event handling functionality","0"
"0","","0","Event System","5","0","Event priorities","0"
"0","","0","Logging System","5","0","Log analysis","0"
"0","","7","Reporting System","38","0","Report generation functionality","0"
"0","","1","Reporting System","4","0","Report priority levels","0"
"0","","0","Order API","15","0","Retrieve order by ID","0"
"0","","0","Notification API","4","0","Update notification status","0"
"0","","0","Product API","4","0","Validate product availability","0"
"0","","0","Order API","15","0","Delete order by ID","0"
"0","","0","Product API","15","0","Retrieve product by ID","0"
"0","","10","Search Functionality","0","0","Search different products","0"
"0","","0","Event System","5","0","Event delivery","0"
"0","","0","Notification API","6","0","Validate notification content","0"
"0","","0","Notification API","8","0","Create notification templates","0"
"0","","1","Order Management","4","0","Track order status","0"
"0","","4","Integration","4","0","Social media integration","0"
"0","","0","Event System","5","0","Event processing features","0"
"0","","0","Notification API","15","0","Delete notification by ID","0"
"0","","0","Product API","15","0","Delete product by ID","0"
"0","","2","Product Management","3","0","Sort products","0"
"0","","1","Product Management","0","0","Add product review","0"
"0","","0","Order API","4","0","Validate order totals","0"
"0","","0","Logging System","5","0","Logging use cases","0"
"0","","1","Integration","0","0","Email service integration","0"
"0","","0","Order Management","1","0","Cancel order","0"
"0","","4","Integration","4","0","Analytics integration","0"
"0","","0","Reporting System","5","0","Report delivery methods","0"
"0","","1","Security","4","0","Password strength validation","0"
"0","","0","Notification API","6","0","Test notification scheduling","0"
"0","","0","Product API","5","0","Filter products by rating","0"
"0","","0","Product Management","1","0","Update product stock","0"
"0","","0","Reporting System","1","0","Sales reporting","0"
"0","","0","Notification API","15","0","Retrieve notification by ID","0"
"0","","0","Order API","5","0","Create new order via API","0"
"0","","2","Reporting System","3","0","Role-based reporting","0"
"0","","0","Notification API","8","0","Search notifications by type","0"
"0","","8","Search Functionality","0","0","Search with brand filters","0"
"0","","0","Issues","1","0","","0"
"0","","2","Security","3","0","XSS prevention","0"
"0","","5","Mobile Functionality","40","0","Mobile app functionality","0"
"0","","1","Mobile Functionality","4","0","App states","0"
"0","","0","Logging System","5","0","Log formats","0"
"0","","0","Product API","10","0","Create new product via API","0"
"0","","4","Integration","4","0","Third-party API integration","0"
"0","","1","Search Functionality","0","0","Basic search functionality","0"
"0","","3","Integration","5","0","Shipping provider integration","0"
