"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","shouldFilterOrdersByDate(String) Filter orders by date range: yesterday","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldFilterOrdersByDate"
"","1001","Generate reports for different user roles [5] Guest","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsForDifferentUserRoles"
"","1","shouldDeleteNotificationById(int) Delete notification with ID: 103","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldDeleteNotificationById"
"","1025","Test different mobile orientations [4] Ultra-wide, 1024x768","","2026-09-21","failed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileOrientations"
"","1003","shouldIntegrateWithThirdPartyAPI(String) Test third-party API integration: Weather API","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithThirdPartyAPI"
"","23","Search for non-existent product","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldShowNoResultsForInvalidSearch"
"","1","shouldUpdateOrderStatus(String, String) Update order Order C status to delivered","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldUpdateOrderStatus"
"","1001","shouldRejectDangerousFileTypes(String) Test file upload security for: .sh","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldRejectDangerousFileTypes"
"","1001","Generate reports with different priority levels [4] Critical","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsWithDifferentPriorityLevels"
"","1003","Test different mobile screen resolutions [3] 414x896","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileScreenResolutions"
"","4","shouldFilterProductsByRating(String) Filter products by rating: 5","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldFilterProductsByRating"
"","1024","shouldValidateProductImage(String) Validate product image for: Product A","","2026-09-21","failed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldValidateProductImage"
"","2","Test different log categories [3] Error, error.log","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogCategories"
"","1","shouldGetOrderById(int) Get order by ID: 56","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldGetOrderById"
"","1","shouldGetNotificationById(int) Get notification by ID: 84","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldGetNotificationById"
"","1","Test different log management features [2] Compression","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogManagementFeatures"
"","1","shouldCreateProductViaApi(String) Create product with category: Sports","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldCreateProductViaApi"
"","2","shouldTestProductVariants(String) Test product variants for: Color","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldTestProductVariants"
"","1","Test different logging use cases [5] Debugging","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLoggingUseCases"
"","0","shouldCreateProductViaApi(String) Create product with category: Beauty","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldCreateProductViaApi"
"","1001","shouldRejectWeakPasswords(String) Test password strength for: abc123","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldRejectWeakPasswords"
"","1","Test different log levels [2] INFO","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogLevels"
"","1","shouldTestNotificationDelivery(String) Test notification delivery for: scheduled","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldTestNotificationDelivery"
"","1003","shouldIntegrateWithAnalytics(String) Test analytics integration: Hotjar","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithAnalytics"
"","1","shouldCreateOrderViaApi(String) Create order with status: shipped","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldCreateOrderViaApi"
"","1","Test different logging use cases [4] Audit","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLoggingUseCases"
"","2","Test different log management features [1] Rotation","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogManagementFeatures"
"","1054","Email service integration should work","","2026-09-21","failed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithEmailService"
"","1004","Session should timeout after inactivity","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldTimeoutSessionAfterInactivity"
"","1073","Test analytics views","","2026-09-21","passed","2026-09-21","","io.demo.AnalyticsTest","io.demo.AnalyticsTest","shouldTestAnalyticsViews"
"","1001","shouldFilterProductsByPrice(int, int, String) Filter products by price range: 201","","2026-09-21","passed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldFilterProductsByPrice"
"","1001","Generate different visualization types [5] Summary","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateDifferentVisualizationTypes"
"","1003","shouldIntegrateWithInventorySystem(String) Test inventory system integration: Microsoft Dynamics","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithInventorySystem"
"","1","shouldSearchProductsByBrand(String) Search products by brand: Nike","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldSearchProductsByBrand"
"","1002","shouldSearchProductsByCategory(String) Search product by category: Electronics","","2026-09-21","passed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldSearchProductsByCategory"
"","1","Test different log management features [5] Retention","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogManagementFeatures"
"","1002","Generate reports in different languages [5] Chinese","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsInDifferentLanguages"
"","1","shouldDeleteProductById(int) Delete product with ID: 46","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","1","shouldDeleteOrderById(int) Delete order with ID: 77","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldDeleteOrderById"
"","2","Test different event organization features [4] Partitioning","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventOrganizationFeatures"
"","1006","shouldTestShippingMethod(String) Test shipping method: Standard","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldTestShippingMethod"
"","1","shouldUpdateNotificationStatus(String, String) Update notification Notification A status to sent","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldUpdateNotificationStatus"
"","1","Test different event observability features [1] Monitoring","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventObservabilityFeatures"
"","2","Test different event organization features [5] Sharding","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventOrganizationFeatures"
"","1","Test different event organization features [2] Deduplication","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventOrganizationFeatures"
"","1","shouldCreateOrderViaApi(String) Create order with status: processing","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldCreateOrderViaApi"
"","1","shouldSendNotificationViaChannel(String) Send notification via: sms","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldSendNotificationViaChannel"
"","1","Test different event error handling strategies [4] Timeout","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventErrorHandlingStrategies"
"","0","shouldDeleteProductById(int) Delete product with ID: 41","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","1","shouldDeleteNotificationById(int) Delete notification with ID: 110","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldDeleteNotificationById"
"","1","shouldSendNotificationViaChannel(String) Send notification via: email","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldSendNotificationViaChannel"
"","1","shouldValidateProductAvailability(String) Validate product availability: pre_order","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldValidateProductAvailability"
"","1","shouldDeleteOrderById(int) Delete order with ID: 68","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldDeleteOrderById"
"","22","shouldSearchForDifferentProducts(String) Search for product: phone","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchForDifferentProducts"
"","1","shouldSearchOrdersByCustomer(String) Search orders by customer: charlie.wilson@example.com","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldSearchOrdersByCustomer"
"","23","shouldSearchForDifferentProducts(String) Search for product: shoes","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchForDifferentProducts"
"","1","shouldGetProductById(int) Get product by ID: 24","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldGetProductById"
"","1002","Test different mobile notification types [4] In-app","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileNotificationTypes"
"","1003","shouldIntegrateWithInventorySystem(String) Test inventory system integration: QuickBooks","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithInventorySystem"
"","1","shouldDeleteOrderById(int) Delete order with ID: 75","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldDeleteOrderById"
"","1","shouldVerifyProductImages(String) Verify product images for: Detail View","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldVerifyProductImages"
"","1026","Test different mobile app states [2] Background Sync","","2026-09-21","failed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileAppStates"
"","1002","Test different mobile notification types [5] Banner","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileNotificationTypes"
"","23","shouldSearchWithSortOption(String) Search with sort option: Popularity","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchWithSortOption"
"","0","shouldDeleteProductById(int) Delete product with ID: 37","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","0","shouldValidateProductAvailability(String) Validate product availability: discontinued","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldValidateProductAvailability"
"","1002","shouldCreateOrderWithMultipleItems(int) Create order with 8 items","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldCreateOrderWithMultipleItems"
"","0","shouldUpdateNotificationStatus(String, String) Update notification Notification D status to failed","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldUpdateNotificationStatus"
"","1","Test different log fields [2] Log Level","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogFields"
"","1002","Test different mobile browsers [2] Chrome Mobile","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileBrowsers"
"","1002","Test different mobile device types [1] iPhone","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileDeviceTypes"
"","0","shouldDeleteNotificationById(int) Delete notification with ID: 102","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldDeleteNotificationById"
"","2","shouldSearchOrdersByCustomer(String) Search orders by customer: john.doe@example.com","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldSearchOrdersByCustomer"
"","1","Test logging system initialization","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestLoggingSystemInitialization"
"","1002","Export reports in different formats [3] CSV","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldExportReportsInDifferentFormats"
"","1024","Add review to product","","2026-09-21","failed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldAddProductReview"
"","1002","Test different mobile sensors [3] Microphone","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileSensors"
"","1","shouldGetProductById(int) Get product by ID: 34","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldGetProductById"
"","1001","Generate reports with different priority levels [3] High","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsWithDifferentPriorityLevels"
"","0","shouldGetProductById(int) Get product by ID: 28","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldGetProductById"
"","1","shouldFilterOrdersByDate(String) Filter orders by date range: today","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldFilterOrdersByDate"
"","1","shouldGetOrderById(int) Get order by ID: 54","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldGetOrderById"
"","1","shouldGetOrderById(int) Get order by ID: 53","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldGetOrderById"
"","1","Test different log fields [5] Stack Trace","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogFields"
"","1024","shouldCreateOrderWithMultipleItems(int) Create order with 9 items","","2026-09-21","failed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldCreateOrderWithMultipleItems"
"","23","shouldSearchWithCategoryFilter(String) Search with category filter: Books","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchWithCategoryFilter"
"","1025","Test different mobile network conditions [5] WiFi","","2026-09-21","failed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileNetworkConditions"
"","1002","shouldCreateOrderWithMultipleItems(int) Create order with 6 items","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldCreateOrderWithMultipleItems"
